2025-02-04 16:46:29 configure libkeyutils1:amd64 1.6.3-2 <none>
2025-02-04 16:46:29 status unpacked libkeyutils1:amd64 1.6.3-2
2025-02-04 16:46:29 status half-configured libkeyutils1:amd64 1.6.3-2
2025-02-04 16:46:29 status installed libkeyutils1:amd64 1.6.3-2
2025-02-04 16:46:29 configure libpsl5:amd64 0.21.2-1 <none>
2025-02-04 16:46:29 status unpacked libpsl5:amd64 0.21.2-1
2025-02-04 16:46:29 status half-configured libpsl5:amd64 0.21.2-1
2025-02-04 16:46:29 status installed libpsl5:amd64 0.21.2-1
2025-02-04 16:46:29 configure gcc-12-cross-base:all 12.2.0-14cross1 <none>
2025-02-04 16:46:29 status unpacked gcc-12-cross-base:all 12.2.0-14cross1
2025-02-04 16:46:29 status half-configured gcc-12-cross-base:all 12.2.0-14cross1
2025-02-04 16:46:29 status installed gcc-12-cross-base:all 12.2.0-14cross1
2025-02-04 16:46:29 configure wget:amd64 1.21.3-1+b2 <none>
2025-02-04 16:46:29 status unpacked wget:amd64 1.21.3-1+b2
2025-02-04 16:46:29 status half-configured wget:amd64 1.21.3-1+b2
2025-02-04 16:46:29 status installed wget:amd64 1.21.3-1+b2
2025-02-04 16:46:29 configure gcc-12-aarch64-linux-gnu-base:amd64 12.2.0-14cross1 <none>
2025-02-04 16:46:29 status unpacked gcc-12-aarch64-linux-gnu-base:amd64 12.2.0-14cross1
2025-02-04 16:46:29 status half-configured gcc-12-aarch64-linux-gnu-base:amd64 12.2.0-14cross1
2025-02-04 16:46:29 status installed gcc-12-aarch64-linux-gnu-base:amd64 12.2.0-14cross1
2025-02-04 16:46:29 configure libtirpc-common:all 1.3.3+ds-1 <none>
2025-02-04 16:46:29 status unpacked libtirpc-common:all 1.3.3+ds-1
2025-02-04 16:46:30 status half-configured libtirpc-common:all 1.3.3+ds-1
2025-02-04 16:46:30 status installed libtirpc-common:all 1.3.3+ds-1
2025-02-04 16:46:30 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2025-02-04 16:46:30 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-02-04 16:46:30 status half-configured libbrotli1:amd64 1.0.9-2+b6
2025-02-04 16:46:30 status installed libbrotli1:amd64 1.0.9-2+b6
2025-02-04 16:46:30 configure binutils-common:amd64 2.40-2 <none>
2025-02-04 16:46:30 status unpacked binutils-common:amd64 2.40-2
2025-02-04 16:46:30 status half-configured binutils-common:amd64 2.40-2
2025-02-04 16:46:30 status installed binutils-common:amd64 2.40-2
2025-02-04 16:46:30 configure libssl3:amd64 3.0.15-1~deb12u1 <none>
2025-02-04 16:46:30 status unpacked libssl3:amd64 3.0.15-1~deb12u1
2025-02-04 16:46:30 status half-configured libssl3:amd64 3.0.15-1~deb12u1
2025-02-04 16:46:30 status installed libssl3:amd64 3.0.15-1~deb12u1
2025-02-04 16:46:30 configure libnghttp2-14:amd64 1.52.0-1+deb12u2 <none>
2025-02-04 16:46:30 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-04 16:46:30 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-04 16:46:30 status installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-04 16:46:30 configure linux-libc-dev:amd64 6.1.124-1 <none>
2025-02-04 16:46:30 status unpacked linux-libc-dev:amd64 6.1.124-1
2025-02-04 16:46:30 status half-configured linux-libc-dev:amd64 6.1.124-1
2025-02-04 16:46:30 status installed linux-libc-dev:amd64 6.1.124-1
2025-02-04 16:46:30 configure libctf-nobfd0:amd64 2.40-2 <none>
2025-02-04 16:46:30 status unpacked libctf-nobfd0:amd64 2.40-2
2025-02-04 16:46:30 status half-configured libctf-nobfd0:amd64 2.40-2
2025-02-04 16:46:30 status installed libctf-nobfd0:amd64 2.40-2
2025-02-04 16:46:30 configure libgomp1:amd64 12.2.0-14 <none>
2025-02-04 16:46:30 status unpacked libgomp1:amd64 12.2.0-14
2025-02-04 16:46:30 status half-configured libgomp1:amd64 12.2.0-14
2025-02-04 16:46:30 status installed libgomp1:amd64 12.2.0-14
2025-02-04 16:46:30 configure libjansson4:amd64 2.14-2 <none>
2025-02-04 16:46:30 status unpacked libjansson4:amd64 2.14-2
2025-02-04 16:46:30 status half-configured libjansson4:amd64 2.14-2
2025-02-04 16:46:30 status installed libjansson4:amd64 2.14-2
2025-02-04 16:46:30 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2025-02-04 16:46:30 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:30 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:30 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-04 16:46:30 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2025-02-04 16:46:30 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-04 16:46:30 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-04 16:46:30 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-04 16:46:30 configure perl-modules-5.36:all 5.36.0-7+deb12u1 <none>
2025-02-04 16:46:30 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2025-02-04 16:46:30 status half-configured perl-modules-5.36:all 5.36.0-7+deb12u1
2025-02-04 16:46:30 status installed perl-modules-5.36:all 5.36.0-7+deb12u1
2025-02-04 16:46:30 configure libpkgconf3:amd64 1.8.1-1 <none>
